Brand,Model,Note
Andrea Communications,NC-455VM USB,
AOC,ACW2220,
BlueCalm,UCH30,
Dell,HS2201,
Dell,UC150,
Dell,WH1022,
Dell,WH3024,
EPOS,Adapt 160T USB II,
EPOS,Impact SC 60 USB ML,
EPOS,Impact 860T,
ESKA,E1000,
Feabask,EH07,
HyperX,Cloud III Gaming Headset,
Jabra,Biz 1500,
Jabra,Biz 2300,
Jabra,Biz 2400 II,
Jabra,Engage 50 II,
Jabra,Evolve2 30 SE,
Jabra,Evolve2 40,
Jabra,Evolve2 50,
Jabra,Evolve2 65,
Jabra,Evolve2 75,
Jabra,Evolve 20,
Jabra,Evolve 20 MS,
Jabra,Evolve 20 SE,
Jabra,Evolve 30 II,
Jabra,Evolve 65,
Jabra,UC Voice 150,
JLab,Epic Work,
JLab,Go Work,
JLab,Go Work Gen 2,
Kensington,K97601WW,
Levn,UH002,
Logitech,H340,
Logitech,H390 Wired Headset,
Logitech,H391,
Logitech,H540,
Logitech,H570e,
Logitech,H590,
Logitech,H750/Zone 750,
Logitech,G432 Gaming,
Microsoft,Modern USB-C Headset,
Poly / Plantronics,Blackwire 3210,
Poly / Plantronics,Blackwire 3215,
Poly / Plantronics,Blackwire 3218,
Poly / Plantronics,Blackwire 3220,
Poly / Plantronics,Blackwire 3225,
Poly / Plantronics,Blackwire 3310,
Poly / Plantronics,Blackwire 3320,
Poly / Plantronics,Blackwire 3325,
Poly / Plantronics,Blackwire 5220 Wired Headset,
Poly / Plantronics,EncorePro 525 (EP525),
Poly / Plantronics,EncorePro HW520,
Razer,Barracuda RZ04,
Razer,BlackShark V2 X / V3 Pro,
Razer,BlackShark V3 Pro,
Razer,Kraken V3 X,
ROCCAT,Elo 7.1 USB,
SteelSeries,Arctis Nova 3,
Yealink,UH34,
Yealink,UH36,
Yealink,UH37,
Yealink,UH42 SE,
Yealink,UH44,
Yealink,UH44 UC,
